time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2.980,0.032696,-0.031720,1.043344,1.33,-2.94,0.49
2.990,0.030744,-0.030256,1.042856,1.26,-2.87,0.56
3.000,0.032208,-0.032208,1.044808,1.33,-3.01,0.42
3.010,0.031720,-0.030256,1.041880,1.40,-3.01,0.56
3.020,0.031720,-0.028792,1.043832,1.33,-3.01,0.42
3.030,0.030744,-0.032208,1.043344,1.40,-2.80,0.56
3.040,0.029280,-0.032208,1.042368,1.33,-3.01,0.49
3.050,0.030256,-0.032696,1.040904,1.33,-3.01,0.49
3.060,0.029280,-0.030256,1.041392,1.33,-2.94,0.42
3.070,0.030744,-0.033184,1.044320,1.33,-2.80,0.49
3.080,0.033184,-0.031720,1.040416,1.33,-3.01,0.56
3.090,0.032696,-0.030256,1.041392,1.33,-2.94,0.49
3.100,0.029280,-0.028792,1.043344,1.33,-2.94,0.49
3.110,0.032208,-0.030256,1.042856,1.26,-2.94,0.42
3.120,0.031720,-0.030744,1.041392,1.33,-3.01,0.42
3.130,0.029280,-0.032696,1.041392,1.40,-2.94,0.49
3.140,0.031720,-0.032208,1.044320,1.33,-2.94,0.49
3.150,0.029768,-0.029768,1.041392,1.26,-3.01,0.42
3.160,0.029768,-0.030256,1.044320,1.40,-2.94,0.56
3.170,0.031720,-0.031232,1.042368,1.33,-2.94,0.49
3.180,0.029280,-0.028792,1.042856,1.33,-3.01,0.42
3.190,0.030744,-0.031720,1.042368,1.33,-3.01,0.42
3.200,0.029768,-0.032208,1.041880,1.33,-3.01,0.42
3.210,0.028792,-0.029768,1.043832,1.33,-3.08,0.42
3.220,0.033184,-0.029768,1.042368,1.26,-2.94,0.49
3.230,0.030256,-0.030744,1.041880,1.26,-2.87,0.42
3.240,0.029768,-0.031720,1.042368,1.33,-2.94,0.42
3.250,0.030256,-0.031720,1.043832,1.33,-3.08,0.49
3.260,0.027816,-0.029280,1.043832,1.26,-2.80,0.63
3.270,0.030744,-0.031232,1.041880,1.33,-3.01,0.42
3.280,0.033184,-0.031232,1.042856,1.33,-2.87,0.49
3.290,0.030256,-0.030256,1.043832,1.40,-3.01,0.49
3.300,0.028304,-0.032208,1.042368,1.26,-3.01,0.49
3.310,0.029768,-0.031720,1.042856,1.40,-2.94,0.49
3.320,0.028792,-0.032208,1.044808,1.33,-3.01,0.49
3.330,0.032208,-0.030744,1.044320,1.33,-3.15,0.21
3.340,0.030744,-0.029280,1.044320,1.33,-2.87,0.56
3.350,0.030256,-0.029280,1.041392,1.33,-3.01,0.49
3.360,0.031720,-0.030744,1.043344,1.40,-2.94,0.49
3.370,0.030744,-0.031720,1.043832,1.33,-2.94,0.49
3.380,0.030256,-0.033672,1.041880,1.40,-2.94,0.49
3.390,0.028792,-0.030256,1.043344,1.19,-3.08,0.49
3.400,0.032696,-0.030744,1.040904,1.19,-3.01,0.49
3.410,0.030744,-0.028792,1.042368,1.47,-3.08,0.49
3.420,0.029768,-0.031720,1.044320,1.26,-2.94,0.42
3.430,0.029280,-0.030256,1.043832,1.26,-2.94,0.49
3.440,0.030744,-0.030744,1.042856,1.33,-3.08,0.35
3.450,0.032696,-0.033184,1.043344,1.40,-3.01,0.42
3.460,0.031232,-0.031720,1.042856,1.33,-2.94,0.49
3.470,0.031232,-0.030256,1.043344,1.26,-2.94,0.49
3.480,0.033672,-0.029768,1.042368,1.40,-2.94,0.42
3.490,0.029280,-0.030744,1.043832,1.33,-3.01,0.56
3.500,0.028792,-0.031232,1.043344,1.26,-3.01,0.56
3.510,0.029768,-0.029280,1.044320,1.26,-2.94,0.56
3.520,0.032208,-0.031720,1.043344,1.26,-3.01,0.56
3.530,0.029280,-0.030256,1.040904,1.33,-3.01,0.56
3.540,0.029768,-0.030744,1.043832,1.26,-2.94,0.63
3.550,0.029768,-0.030744,1.041880,1.33,-2.87,0.49
3.560,0.031720,-0.030256,1.043344,1.40,-2.94,0.56
3.570,0.031232,-0.032696,1.044320,1.26,-2.87,0.56
3.580,0.030256,-0.030744,1.043344,1.33,-2.94,0.49
3.590,0.030744,-0.029768,1.041880,1.33,-2.94,0.56
3.600,0.031232,-0.031232,1.042368,1.26,-2.94,0.49
3.610,0.029768,-0.029768,1.044808,1.26,-3.01,0.49
3.620,0.031720,-0.028304,1.041880,1.26,-3.01,0.35
3.630,0.031232,-0.029280,1.042856,1.26,-2.94,0.49
3.640,0.030744,-0.032208,1.042368,1.26,-3.01,0.56
3.650,0.032208,-0.033184,1.043344,1.40,-3.01,0.56
3.660,0.028792,-0.030744,1.041880,1.33,-2.94,0.49
3.670,0.030744,-0.031720,1.040904,1.26,-2.94,0.49
3.680,0.029280,-0.032208,1.043344,1.33,-3.08,0.49
3.690,0.029768,-0.031232,1.044808,1.33,-3.01,0.42
3.700,0.031232,-0.029280,1.042856,1.33,-3.01,0.56
3.710,0.031720,-0.032208,1.042856,1.26,-3.01,0.56
3.720,0.030256,-0.031232,1.039440,1.33,-2.94,0.49
3.730,0.028792,-0.031720,1.042368,1.33,-2.94,0.35
3.740,0.032696,-0.029768,1.044320,1.40,-2.94,0.49
3.750,0.030744,-0.027328,1.041392,1.19,-3.01,0.42
3.760,0.028792,-0.032696,1.041880,1.40,-2.94,0.49
3.770,0.031232,-0.029768,1.043344,1.33,-3.08,0.49
3.780,0.030744,-0.032208,1.041880,1.26,-2.94,0.49
3.790,0.028304,-0.032208,1.042368,1.33,-3.01,0.49
3.800,0.033184,-0.030744,1.040904,1.26,-2.94,0.49
3.810,0.031720,-0.032208,1.040904,1.33,-2.87,0.56
3.820,0.029768,-0.029280,1.042856,1.26,-2.94,0.56
3.830,0.031720,-0.030744,1.043344,1.33,-3.01,0.49
3.840,0.030256,-0.029280,1.042368,1.26,-2.94,0.49
3.850,0.030256,-0.032208,1.043344,1.40,-2.87,0.56
3.860,0.032208,-0.030744,1.043344,1.40,-3.01,0.42
3.870,0.030744,-0.032208,1.041392,1.26,-2.94,0.63
3.880,0.029280,-0.033184,1.041392,1.26,-3.01,0.49
3.890,0.031232,-0.030256,1.042856,1.33,-2.94,0.49
3.900,0.032696,-0.032696,1.042856,1.26,-3.08,0.42
3.910,0.030744,-0.030744,1.043832,1.33,-2.94,0.42
3.920,0.029768,-0.030744,1.041392,1.40,-3.01,0.49
3.930,0.032208,-0.031720,1.040416,1.47,-3.01,0.63
3.940,0.030744,-0.030744,1.042856,1.33,-3.01,0.63
3.950,0.031232,-0.032208,1.042856,1.33,-2.94,0.49
3.960,0.029768,-0.029280,1.042856,1.19,-3.01,0.49
3.970,0.029768,-0.030744,1.042368,1.40,-3.01,0.49
3.980,0.030744,-0.030744,1.043344,1.40,-2.87,0.42
3.990,0.031232,-0.030744,1.042856,1.33,-2.87,0.56
4.000,0.029280,-0.030744,1.041392,1.40,-3.01,0.49
4.010,0.031720,-0.031720,1.044320,1.26,-3.01,0.42
4.020,0.028792,-0.031232,1.041880,1.26,-2.94,0.49
4.030,0.031232,-0.032208,1.042368,1.33,-2.87,0.56
4.040,0.029280,-0.031232,1.044320,1.33,-2.94,0.56
4.050,0.028304,-0.031720,1.042856,1.40,-3.01,0.35
4.060,0.029768,-0.030256,1.042856,1.33,-2.94,0.42
4.070,0.029768,-0.032208,1.042856,1.26,-3.01,0.56
4.080,0.029768,-0.031232,1.043832,1.33,-2.94,0.56
4.090,0.030744,-0.031232,1.041880,1.33,-2.94,0.35
4.100,0.030256,-0.027328,1.040904,1.40,-3.01,0.56
4.110,0.031720,-0.028792,1.043344,1.33,-3.08,0.35
4.120,0.030744,-0.031720,1.041880,1.40,-3.01,0.56
4.130,0.031232,-0.030256,1.043344,1.26,-3.01,0.49
4.140,0.031232,-0.028304,1.043344,1.40,-3.01,0.49
4.150,0.031232,-0.030256,1.044320,1.33,-3.01,0.56
4.160,0.031232,-0.029280,1.043832,1.26,-3.01,0.49
4.170,0.031232,-0.029768,1.043832,1.40,-2.94,0.42
4.180,0.030744,-0.031720,1.043344,1.47,-2.94,0.49
